Prefixes:
inter: (28, 42) -> 0.6666667
intra: (7, 9) -> 0.7777778
mis: (15, 18) -> 0.8333333
mid: (9, 12) -> 0.75
mini: (4, 6) -> 0.6666667
dis: (46, 65) -> 0.7076923
di: (59, 80) -> 0.7375
re: (192, 287) -> 0.6689895
anti: (41, 51) -> 0.8039216
in: (160, 253) -> 0.6324111
en: (50, 74) -> 0.6756757
em: (19, 25) -> 0.76
auto: (17, 20) -> 0.85
il: (7, 9) -> 0.7777778
im: (38, 59) -> 0.6440678
ir: (21, 30) -> 0.7
ig: (1, 2) -> 0.5
non: (34, 49) -> 0.6938776
ob: (16, 20) -> 0.8
op: (23, 35) -> 0.6571429
octo: (0, 0) -> NaN
oc: (7, 14) -> 0.5
pre: (49, 78) -> 0.6282051
pro: (65, 86) -> 0.755814
under: (13, 20) -> 0.65
epi: (9, 12) -> 0.75
off: (13, 18) -> 0.7222222
on: (15, 20) -> 0.75
circum: (3, 4) -> 0.75
multi: (5, 10) -> 0.5
bio: (3, 5) -> 0.6
bi: (56, 64) -> 0.875
mono: (7, 11) -> 0.6363636
demo: (2, 6) -> 0.3333333
de: (150, 222) -> 0.6756757
super: (18, 25) -> 0.72
supra: (2, 2) -> 1
cyber: (0, 0) -> NaN
fore: (3, 6) -> 0.5
for: (23, 43) -> 0.5348837
para: (11, 12) -> 0.9166667
extra: (5, 7) -> 0.7142857
extro: (0, 0) -> NaN
ex: (61, 112) -> 0.5446429
hyper: (0, 0) -> NaN
hypo: (2, 3) -> 0.6666667
hy: (19, 36) -> 0.5277778
sub: (13, 23) -> 0.5652174
com: (50, 69) -> 0.7246377
counter: (4, 8) -> 0.5
con: (71, 116) -> 0.612069
co: (181, 227) -> 0.7973568
semi: (9, 9) -> 1
vice: (5, 6) -> 0.8333333
poly: (30, 41) -> 0.7317073
trans: (19, 30) -> 0.6333333
out: (19, 31) -> 0.6129032
step: (3, 3) -> 1
ben: (12, 18) -> 0.6666667
with: (0, 0) -> NaN
an: (51, 64) -> 0.796875
el: (53, 63) -> 0.8412699
ep: (6, 7) -> 0.8571429
geo: (2, 2) -> 1
iso: (4, 5) -> 0.8
meta: (15, 21) -> 0.7142857
ab: (17, 30) -> 0.5666667
ad: (67, 82) -> 0.8170732
ac: (57, 87) -> 0.6551724
as: (28, 39) -> 0.7179487
ante: (0, 0) -> NaN
pan: (10, 11) -> 0.9090909
ped: (10, 15) -> 0.6666667
peri: (11, 15) -> 0.7333333
socio: (2, 3) -> 0.6666667
sur: (11, 19) -> 0.5789474
syn: (10, 13) -> 0.7692308
sy: (7, 9) -> 0.7777778
tri: (21, 29) -> 0.7241379
uni: (18, 25) -> 0.72
un: (91, 167) -> 0.5449102
eu: (6, 10) -> 0.6
